n_killed,latitude,longitude
0,34.735,-86.6188
0,37.5066,-77.3208
0,42.7075,-73.7123
0,42.7043,-73.659
0,42.4259,-71.66
0,41.3684,-82.1077
0,40.7146,-73.7812
0,47.6062,-122.317
1,27.335,-82.5374
1,29.8738,-93.9332
1,25.7744,-80.1372
0,38.2331,-85.764
0,30.3396,-81.686
0,39.3006,-76.6348
0,30.3623,-81.6777
0,45.4649,-122.699
0,41.6239,-93.6502
1,42.9599,-78.8982
0,32.7535,-79.9528
0,31.5572,-84.1634
0,35.6071,-77.3967
0,39.3664,-74.4317
0,37.8554,-94.3505
0,41.2814,-95.9723
0,35.6102,-77.3884
0,35.0087,-85.277
0,41.6452,-91.5268
0,41.2318,-96.1105
0,35.6041,-77.3322
0,34.0771,-89.9101
0,46.8851,-114.014
1,35.4438,-89.859
0,37.5762,-77.4875
0,29.9917,-90.1018
0,28.5623,-81.3647
0,42.511,-92.3237
0,34.6689,-92.3391
0,30.0198,-89.9854
0,36.1988,-95.8839
0,37.7676,-122.169
0,44.9622,-93.2577
0,42.639,-83.3204
0,36.8193,-76.1257
1,40.2344,-74.7996
0,43.0239,-83.7004
0,42.0367,-87.8614
0,37.1772,-87.1423
0,35.061,-77.7405
0,33.4404,-102.149
0,29.6452,-82.3223
0,42.5101,-92.3378
1,35.864,-78.7128
2,30.4846,-90.045
0,38.9627,-104.787
0,45.5252,-122.992
0,35.045,-89.8893
0,38.8426,-76.9921
1,44.3992,-93.5246
1,30.535,-88.1706
1,25.8491,-80.2234
0,32.8231,-83.6644
0,41.2959,-95.9697
0,39.9469,-82.9153
0,40.96,-81.4365
0,32.5351,-93.688
1,39.9078,-86.0388
0,28.9174,-81.9235
0,32.7237,-85.2408
0,30.6977,-88.1424
0,30.6755,-88.246
0,36.1781,-86.7881
0,39.1345,-76.7453
0,36.0465,-86.64
1,38.7056,-90.2771
1,30.3047,-81.7334
0,45.5902,-122.746
0,36.0726,-79.7754
1,39.3247,-76.7167
0,36.8075,-76.0836
0,33.61,-101.82
1,41.5148,-74.0121
0,38.8398,-104.771
2,46.051,-114.223
0,29.973,-90.0435
1,33.8288,-79.0654
0,41.639,-93.6975
0,40.1285,-88.24
0,45.6193,-122.538
0,40.7088,-74.0815
1,38.1621,-85.7014
1,38.6708,-90.208
