STNAME,CTYNAME,POPESTIMATE2015
Georgia,Randolph County,7147
Georgia,Richmond County,201333
Georgia,Rockdale County,88379
Georgia,Schley County,5206
Georgia,Screven County,14056
Georgia,Seminole County,8561
Georgia,Spalding County,63826
Georgia,Stephens County,25472
Georgia,Stewart County,5930
Georgia,Sumter County,30685
Georgia,Talbot County,6485
Georgia,Taliaferro County,1643
Georgia,Tattnall County,25390
Georgia,Taylor County,8245
Georgia,Telfair County,16439
Georgia,Terrell County,9017
Georgia,Thomas County,44812
Georgia,Tift County,40536
Georgia,Toombs County,27169
Georgia,Towns County,11207
Georgia,Treutlen County,6801
Georgia,Troup County,69593
Georgia,Turner County,7979
Georgia,Twiggs County,8342
Georgia,Union County,22017
Georgia,Upson County,26241
Georgia,Walker County,68552
Georgia,Walton County,88358
Georgia,Ware County,35359
Georgia,Warren County,5377
Georgia,Washington County,20736
Georgia,Wayne County,29422
Georgia,Webster County,2631
Georgia,Wheeler County,7897
Georgia,White County,28374
Georgia,Whitfield County,103677
Georgia,Wilcox County,8898
Georgia,Wilkes County,9909
Georgia,Wilkinson County,9080
Georgia,Worth County,20705
Hawaii,Hawaii,1422484
Hawaii,Hawaii County,195941
Hawaii,Honolulu County,991339
Hawaii,Kalawao County,88
Hawaii,Kauai County,71074
Hawaii,Maui County,164042
Idaho,Idaho,1651523
Idaho,Ada County,433047
Idaho,Adams County,3889
Idaho,Bannock County,84216
Idaho,Bear Lake County,5879
Idaho,Benewah County,8990
Idaho,Bingham County,45066
Idaho,Blaine County,21642
Idaho,Boise County,6961
Idaho,Bonner County,41587
Idaho,Bonneville County,109924
Idaho,Boundary County,11276
Idaho,Butte County,2567
Idaho,Camas County,1070
Idaho,Canyon County,206894
Idaho,Caribou County,6771
Idaho,Cassia County,23500
Idaho,Clark County,887
Idaho,Clearwater County,8562
Idaho,Custer County,4059
Idaho,Elmore County,25796
Idaho,Franklin County,12954
Idaho,Fremont County,12811
Idaho,Gem County,16680
Idaho,Gooding County,15212
Idaho,Idaho County,16296
Idaho,Jefferson County,27129
Idaho,Jerome County,23006
Idaho,Kootenai County,149395
Idaho,Latah County,38796
Idaho,Lemhi County,7736
Idaho,Lewis County,3795
Idaho,Lincoln County,5303
Idaho,Madison County,37983
Idaho,Minidoka County,20451
Idaho,Nez Perce County,39996
Idaho,Oneida County,4249
Idaho,Owyhee County,11292
Idaho,Payette County,22793
Idaho,Power County,7700
Idaho,Shoshone County,12456
Idaho,Teton County,10732
Idaho,Twin Falls County,82230
Idaho,Valley County,10046
Idaho,Washington County,9899
Illinois,Illinois,12864342
Illinois,Adams County,66857
Illinois,Alexander County,6761
Illinois,Bond County,16684
Illinois,Boone County,53606
Illinois,Brown County,6748
Illinois,Bureau County,33490
Illinois,Calhoun County,4858
Illinois,Carroll County,14640
Illinois,Cass County,12848
Illinois,Champaign County,209234
Illinois,Christian County,33457
Illinois,Clark County,15869
Illinois,Clay County,13402
Illinois,Clinton County,37660
Illinois,Coles County,52160
Illinois,Cook County,5247662
Illinois,Crawford County,19258
Illinois,Cumberland County,10860
Illinois,DeKalb County,104154
Illinois,De Witt County,16181
Illinois,Douglas County,19831
Illinois,DuPage County,933965
Illinois,Edgar County,17603
Illinois,Edwards County,6509
Illinois,Effingham County,34209
Illinois,Fayette County,22033
Illinois,Ford County,13526
Illinois,Franklin County,39390
Illinois,Fulton County,35707
Illinois,Gallatin County,5222
Illinois,Greene County,13344
Illinois,Grundy County,50363
Illinois,Hamilton County,8249
Illinois,Hancock County,18215
Illinois,Hardin County,4065
Illinois,Henderson County,6997
Illinois,Henry County,49644
Illinois,Iroquois County,28522
Illinois,Jackson County,59245
Illinois,Jasper County,9628
Illinois,Jefferson County,38290
Illinois,Jersey County,22223
Illinois,Jo Daviess County,22077
Illinois,Johnson County,12780
Illinois,Kane County,529330
Illinois,Kankakee County,111758
Illinois,Kendall County,122937
Illinois,Knox County,51374
Illinois,Lake County,704995
Illinois,LaSalle County,111023
Illinois,Lawrence County,16455
Illinois,Lee County,34515
Illinois,Livingston County,36603
Illinois,Logan County,29270
Illinois,McDonough County,31430
Illinois,McHenry County,307650
Illinois,McLean County,173160
Illinois,Macon County,107363
