date,state,city_or_county,n_killed,n_injured,n_total,county
2/15/2015,Massachusetts,Ashland,0,0,0,Ashland
2/16/2015,Louisiana,Morehouse,0,0,0,Morehouse
2/17/2015,Florida,Miami-Dade,0,1,1,Miami-Dade
2/18/2015,Texas,Porter,0,0,0,Porter
2/19/2015,Virginia,Amelia,0,1,1,Amelia
2/21/2015,Massachusetts,Dorchester,0,0,0,Dorchester
2/21/2015,Florida,Miami-Dade,1,0,1,Miami-Dade
2/23/2015,Michigan,Highland,0,0,0,Highland
2/24/2015,Maryland,Hanover,0,1,1,Hanover
2/25/2015,New York,Gates,1,0,1,Gates
2/25/2015,Connecticut,Fairfield,0,0,0,Fairfield
2/26/2015,Massachusetts,Dorchester,0,1,1,Dorchester
2/27/2015,New Hampshire,Litchfield,0,0,0,Litchfield
2/27/2015,Virginia,James City,0,1,1,James City
2/27/2015,New Hampshire,Salem,0,0,0,Salem
3/2/2015,Delaware,Sussex,0,0,0,Sussex
3/3/2015,Connecticut,Madison,0,0,0,Madison
3/4/2015,New Jersey,Orange,0,0,0,Orange
3/7/2015,Arkansas,Madera,0,0,0,Madera
3/8/2015,Connecticut,Monroe,0,1,1,Monroe
3/8/2015,New York,Ulster,0,0,0,Ulster
3/10/2015,Massachusetts,Dorchester,0,0,0,Dorchester
3/11/2015,Massachusetts,Rockland,0,0,0,Rockland
3/13/2015,Wisconsin,Fairfield,0,0,0,Fairfield
3/13/2015,Vermont,Charlotte,0,1,1,Charlotte
3/13/2015,New York,York,0,0,0,York
3/13/2015,Connecticut,Fairfield,0,0,0,Fairfield
3/13/2015,New Hampshire,Salem,0,0,0,Salem
3/14/2015,Rhode Island,Richmond,0,0,0,Richmond
3/15/2015,New Jersey,Gloucester,0,1,1,Gloucester
3/17/2015,Connecticut,Fairfield,0,0,0,Fairfield
3/18/2015,New Hampshire,Chesterfield,0,0,0,Chesterfield
3/19/2015,Tennessee,Madison,0,1,1,Madison
3/20/2015,New York,Cambria,0,0,0,Cambria
3/26/2015,New York,Harford,0,0,0,Harford
3/27/2015,Kentucky,LaGrange,0,0,0,LaGrange
3/28/2015,Virginia,Henrico,1,0,1,Henrico
3/28/2015,New Hampshire,Bedford,3,0,3,Bedford
3/30/2015,Wisconsin,Salem,0,2,2,Salem
3/31/2015,Connecticut,Fairfield,0,0,0,Fairfield
3/31/2015,Texas,San Jacinto,0,1,1,San Jacinto
3/31/2015,Tennessee,Madison,1,0,1,Madison
4/1/2015,New Hampshire,Merrimack,0,0,0,Merrimack
4/1/2015,Connecticut,Hampton,0,0,0,Hampton
4/4/2015,Wisconsin,Saratoga,0,0,0,Saratoga
4/8/2015,Pennsylvania,Highland,0,0,0,Highland
4/8/2015,New Jersey,Fairfield,0,0,0,Fairfield
4/9/2015,New Jersey,Jackson,1,0,1,Jackson
4/16/2015,Michigan,Ray,0,0,0,Ray
4/17/2015,Florida,Manatee,0,1,1,Manatee
4/17/2015,Florida,Manatee,0,1,1,Manatee
4/18/2015,Virginia,Henrico,0,1,1,Henrico
4/22/2015,Florida,Miami-Dade,0,0,0,Miami-Dade
4/22/2015,Tennessee,Buchanan,0,1,1,Buchanan
4/23/2015,Indiana,Tippecanoe,0,0,0,Tippecanoe
4/24/2015,New York,Gates,0,0,0,Gates
4/25/2015,New York,Gates,1,6,7,Gates
4/26/2015,Rhode Island,Lincoln,0,0,0,Lincoln
4/30/2015,New Hampshire,Merrimack,1,0,1,Merrimack
5/3/2015,New Hampshire,Merrimack,0,0,0,Merrimack
5/9/2015,Indiana,Hamblen,1,0,1,Hamblen
5/9/2015,New Hampshire,Mason,0,0,0,Mason
5/10/2015,Maine,Union,0,0,0,Union
5/11/2015,Connecticut,Fairfield,0,0,0,Fairfield
5/11/2015,Maryland,Prince George,1,0,1,Prince George
5/13/2015,Florida,Volusia,0,0,0,Volusia
5/13/2015,Wisconsin,Saratoga,0,0,0,Saratoga
5/14/2015,Virginia,Henrico,1,0,1,Henrico
5/14/2015,Massachusetts,Amherst,0,0,0,Amherst
5/16/2015,Illinois,Ozark,1,0,1,Ozark
5/16/2015,Florida,Miami-Dade,0,1,1,Miami-Dade
5/17/2015,Michigan,Erie,0,0,0,Erie
5/17/2015,Wisconsin,Newton,1,0,1,Newton
5/18/2015,Florida,Miami-Dade,1,1,2,Miami-Dade
5/19/2015,Florida,Miami-Dade,0,1,1,Miami-Dade
5/21/2015,Louisiana,Morehouse,0,1,1,Morehouse
5/22/2015,Wisconsin,Saratoga,0,0,0,Saratoga
5/22/2015,North Carolina,Charleston,0,2,2,Charleston
5/24/2015,Maine,Windsor,0,0,0,Windsor
5/24/2015,Tennessee,Madison,0,0,0,Madison
5/25/2015,Virginia,Henrico,0,0,0,Henrico
5/26/2015,Florida,Miami-Dade,0,1,1,Miami-Dade
