,n_killed,latitude,longitude,output
190,2,39.1437,-84.4945,"{ lat: 39.1437, lng: -84.4945, count: 2 }"
191,2,39.315,-76.6112,"{ lat: 39.315, lng: -76.6112, count: 2 }"
192,2,31.4719,-100.448,"{ lat: 31.4719, lng: -100.448, count: 2 }"
193,2,29.4241,-98.4936,"{ lat: 29.4241, lng: -98.4936, count: 2 }"
194,2,40.3782,-77.0901,"{ lat: 40.3782, lng: -77.0901, count: 2 }"
195,2,37.4216,-77.4768,"{ lat: 37.4216, lng: -77.4768, count: 2 }"
196,2,33.5154,-81.9507,"{ lat: 33.5154, lng: -81.9507, count: 2 }"
197,2,40.0394,-75.3871,"{ lat: 40.0394, lng: -75.3871, count: 2 }"
198,2,35.3565,-77.9739,"{ lat: 35.3565, lng: -77.9739, count: 2 }"
199,2,41.606,-70.9107,"{ lat: 41.606, lng: -70.9107, count: 2 }"
201,2,34.5011,-117.539,"{ lat: 34.5011, lng: -117.539, count: 2 }"
202,2,38.8254,-84.5012,"{ lat: 38.8254, lng: -84.5012, count: 2 }"
203,2,35.6955,-88.8587,"{ lat: 35.6955, lng: -88.8587, count: 2 }"
204,2,40.4342,-80.0637,"{ lat: 40.4342, lng: -80.0637, count: 2 }"
205,2,30.4799,-90.9368,"{ lat: 30.4799, lng: -90.9368, count: 2 }"
206,2,39.7912,-86.1851,"{ lat: 39.7912, lng: -86.1851, count: 2 }"
207,2,36.8081,-119.889,"{ lat: 36.8081, lng: -119.889, count: 2 }"
208,2,34.1806,-97.1348,"{ lat: 34.1806, lng: -97.1348, count: 2 }"
209,2,33.9567,-118.35600000000001,"{ lat: 33.9567, lng: -118.35600000000001, count: 2 }"
210,2,33.2089,-96.6407,"{ lat: 33.2089, lng: -96.6407, count: 2 }"
211,2,35.9976,-86.4903,"{ lat: 35.9976, lng: -86.4903, count: 2 }"
212,2,27.4513,-80.3426,"{ lat: 27.4513, lng: -80.3426, count: 2 }"
213,2,34.1195,-117.281,"{ lat: 34.1195, lng: -117.281, count: 2 }"
214,2,33.6625,-95.5832,"{ lat: 33.6625, lng: -95.5832, count: 2 }"
215,2,30.908,-94.4221,"{ lat: 30.908, lng: -94.4221, count: 2 }"
216,2,30.9749,-94.264,"{ lat: 30.9749, lng: -94.264, count: 2 }"
217,2,37.7454,-122.15799999999999,"{ lat: 37.7454, lng: -122.15799999999999, count: 2 }"
218,2,41.7301,-87.5513,"{ lat: 41.7301, lng: -87.5513, count: 2 }"
219,2,32.7093,-96.8081,"{ lat: 32.7093, lng: -96.8081, count: 2 }"
220,2,33.5674,-81.9493,"{ lat: 33.5674, lng: -81.9493, count: 2 }"
221,2,40.0487,-75.1019,"{ lat: 40.0487, lng: -75.1019, count: 2 }"
222,2,30.3213,-95.4778,"{ lat: 30.3213, lng: -95.4778, count: 2 }"
223,2,39.641999999999996,-105.26100000000001,"{ lat: 39.641999999999996, lng: -105.26100000000001, count: 2 }"
224,2,30.0512,-94.0833,"{ lat: 30.0512, lng: -94.0833, count: 2 }"
225,2,32.7363,-96.8646,"{ lat: 32.7363, lng: -96.8646, count: 2 }"
226,2,35.0791,-78.9564,"{ lat: 35.0791, lng: -78.9564, count: 2 }"
227,2,37.4086,-79.1878,"{ lat: 37.4086, lng: -79.1878, count: 2 }"
228,2,34.6129,-98.4055,"{ lat: 34.6129, lng: -98.4055, count: 2 }"
229,2,34.069,-118.3,"{ lat: 34.069, lng: -118.3, count: 2 }"
230,2,34.069,-118.3,"{ lat: 34.069, lng: -118.3, count: 2 }"
231,2,40.525,-81.9889,"{ lat: 40.525, lng: -81.9889, count: 2 }"
232,2,36.186,-86.5097,"{ lat: 36.186, lng: -86.5097, count: 2 }"
233,2,40.7341,-74.1912,"{ lat: 40.7341, lng: -74.1912, count: 2 }"
234,2,39.8869,-76.6118,"{ lat: 39.8869, lng: -76.6118, count: 2 }"
235,2,38.9261,-77.0228,"{ lat: 38.9261, lng: -77.0228, count: 2 }"
236,2,35.3321,-81.0689,"{ lat: 35.3321, lng: -81.0689, count: 2 }"
237,2,42.0181,-78.6053,"{ lat: 42.0181, lng: -78.6053, count: 2 }"
238,2,39.6737,-105.045,"{ lat: 39.6737, lng: -105.045, count: 2 }"
239,2,40.4107,-79.993,"{ lat: 40.4107, lng: -79.993, count: 2 }"
240,2,41.4619,-81.6971,"{ lat: 41.4619, lng: -81.6971, count: 2 }"
