Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI13023,"Bleckley County, GA",13023,30353,31576,31429,32704
PCPI47007,"Bledsoe County, TN",47007,23760,24718,24364,25705
PCPI01009,"Blount County, AL",01009,31359,31987,32261,33707
PCPI47009,"Blount County, TN",47009,37103,38887,40086,41224
PCPI27013,"Blue Earth County, MN",27013,41662,42525,41961,43407
PCPI16015,"Boise County, ID",16015,36091,37575,42073,43549
PCPI28011,"Bolivar County, MS",28011,32597,33580,35584,36131
PCPI29017,"Bollinger County, MO",29017,28556,29230,30554,31478
PCPI46009,"Bon Homme County, SD",46009,35548,36756,34248,35797
PCPI17005,"Bond County, IL",17005,32892,33054,33694,34664
PCPI16017,"Bonner County, ID",16017,34589,36866,38226,39310
PCPI16019,"Bonneville County, ID",16019,38798,42277,44000,45413
PCPI05009,"Boone County, AR",05009,32132,33031,33260,34333
PCPI31011,"Boone County, NE",31011,62824,60562,57376,58370
PCPI19015,"Boone County, IA",19015,45010,45009,45105,45854
PCPI17007,"Boone County, IL",17007,40645,42166,44014,44908
PCPI54005,"Boone County, WV",54005,30551,30614,30216,31368
PCPI21015,"Boone County, KY",21015,41564,42919,43922,45358
PCPI18011,"Boone County, IN",18011,62362,64897,69306,71102
PCPI29019,"Boone County, MO",29019,42029,43580,43816,44797
PCPI48033,"Borden County, TX",48033,50242,60337,52974,51776
PCPI48035,"Bosque County, TX",48035,38871,39954,40114,40704
PCPI22015,"Bossier Parish, LA",22015,41243,41334,41652,41655
PCPI51023,"Botetourt County, VA",51023,44939,46819,47153,48152
PCPI38009,"Bottineau County, ND",38009,57252,51559,49202,49720
PCPI08013,"Boulder County, CO",08013,60467,64197,65150,68027
PCPI16021,"Boundary County, ID",16021,33913,34274,33704,34576
PCPI21017,"Bourbon County, KY",21017,40395,41871,41767,43186
PCPI20011,"Bourbon County, KS",20011,36884,38388,39031,39604
PCPI48037,"Bowie County, TX",48037,35616,37364,37954,38807
PCPI38011,"Bowman County, ND",38011,67204,59282,55241,54364
PCPI31013,"Box Butte County, NE",31013,44485,43154,42344,44603
PCPI49003,"Box Elder County, UT",49003,32817,33721,34356,35552
PCPI21019,"Boyd County, KY",21019,34881,35991,35855,36954
PCPI31015,"Boyd County, NE",31015,44953,50766,49346,50489
PCPI21021,"Boyle County, KY",21021,34042,35439,35643,36312
PCPI21023,"Bracken County, KY",21023,31655,32815,33415,34728
PCPI42015,"Bradford County, PA",42015,37525,38133,37544,38869
PCPI12007,"Bradford County, FL",12007,30065,31228,31627,32685
PCPI05011,"Bradley County, AR",05011,34344,35690,36121,38378
PCPI47011,"Bradley County, TN",47011,36068,37403,37643,38766
PCPI26023,"Branch County, MI",26023,31687,33068,33864,35200
PCPI13025,"Brantley County, GA",13025,23282,24832,26249,26861
PCPI54007,"Braxton County, WV",54007,29483,30458,29554,30406
PCPI48039,"Brazoria County, TX",48039,44389,45577,45744,45925
PCPI48041,"Brazos County, TX",48041,35331,35843,36101,37352
PCPI21025,"Breathitt County, KY",21025,31178,31274,31025,32512
PCPI21027,"Breckinridge County, KY",21027,31614,32499,32261,33214
PCPI19017,"Bremer County, IA",19017,44004,45486,45740,46759
PCPI12009,"Brevard County, FL",12009,39284,41035,42045,43592
PCPI48043,"Brewster County, TX",48043,40492,41718,43644,44418
PCPI48045,"Briscoe County, TX",48045,33864,34696,30589,34165
PCPI25005,"Bristol County, MA",25005,45967,48306,49494,51298
PCPI44001,"Bristol County, RI",44001,66571,70263,72954,76148
PCPI02060,"Bristol Bay Borough, AK",02060,116223,110560,119811,126725
PCPI30007,"Broadwater County, MT",30007,35532,36489,38103,38717
PCPI36005,"Bronx County, NY",36005,31556,32778,33310,35564
PCPI54009,"Brooke County, WV",54009,36724,37731,37889,39457
PCPI46011,"Brookings County, SD",46011,42137,43759,44328,44774
PCPI13027,"Brooks County, GA",13027,31115,32305,33032,33571
PCPI48047,"Brooks County, TX",48047,34782,35122,32881,33466
PCPI36007,"Broome County, NY",36007,38336,39909,40635,42825
PCPI08014,"Broomfield County, CO",08014,57660,58710,60316,63596
PCPI12011,"Broward County, FL",12011,43265,46105,46748,48680
PCPI20013,"Brown County, KS",20013,40966,41051,41550,43352
PCPI39015,"Brown County, OH",39015,31888,33080,34174,35361
PCPI31017,"Brown County, NE",31017,56483,60433,57882,51850
PCPI18013,"Brown County, IN",18013,40431,41872,43676,44905
PCPI48049,"Brown County, TX",48049,34585,35658,35795,37041
PCPI17009,"Brown County, IL",17009,29629,30062,31108,32435
PCPI55009,"Brown County, WI",55009,46183,47830,48247,49618
PCPI27015,"Brown County, MN",27015,46988,47863,48222,50038
PCPI46013,"Brown County, SD",46013,48137,50383,50508,49593
PCPI46015,"Brule County, SD",46015,46242,43588,41143,40543
PCPI51025,"Brunswick County, VA",51025,29158,30833,31523,32432
PCPI37019,"Brunswick County, NC",37019,36533,38391,40128,41092
PCPI40013,"Bryan County, OK",40013,30705,31394,32510,33533
PCPI13029,"Bryan County, GA",13029,46870,48519,49800,50887
PCPI29021,"Buchanan County, MO",29021,35966,36575,36686,37779
PCPI19019,"Buchanan County, IA",19019,42179,43070,42689,43729
PCPI51027,"Buchanan County, VA",51027,31900,32201,31822,34420
PCPI51029,"Buckingham County, VA",51029,26836,28090,28315,29397
PCPI42017,"Bucks County, PA",42017,62192,64994,67020,69370
PCPI19021,"Buena Vista County, IA",19021,46216,47722,43252,43713
PCPI55011,"Buffalo County, WI",55011,40503,42323,41884,43223
PCPI31019,"Buffalo County, NE",31019,46080,49309,49380,51614
PCPI46017,"Buffalo County, SD",46017,22677,22459,20900,23395
