month,state,permit,totals
2017-11,Oregon,4794,34103
2017-11,Pennsylvania,27003,104479
2017-11,Puerto Rico,0,2307
2017-11,Rhode Island,0,2173
2017-11,South Carolina,8922,34132
2017-11,South Dakota,687,9908
2017-11,Tennessee,17602,74800
2017-11,Texas,33293,163358
2017-11,Utah,11644,24359
2017-11,Vermont,0,3240
2017-11,Virgin Islands,55,86
2017-11,Virginia,995,53142
2017-11,Washington,12865,53072
2017-11,West Virginia,1927,24455
2017-11,Wisconsin,14647,48683
2017-11,Wyoming,280,5665
2017-10,Alabama,20017,36619
2017-10,Alaska,198,8080
2017-10,Arizona,6097,29277
2017-10,Arkansas,3865,20327
2017-10,California,49259,119395
2017-10,Colorado,4075,40163
2017-10,Connecticut,5093,13201
2017-10,Delaware,208,3692
2017-10,District of Columbia,145,217
2017-10,Florida,18090,103032
2017-10,Georgia,16145,43293
2017-10,Guam,0,135
2017-10,Hawaii,1231,1235
2017-10,Idaho,4710,15130
2017-10,Illinois,17529,122798
2017-10,Indiana,23109,55336
2017-10,Iowa,8034,14012
2017-10,Kansas,2341,15018
2017-10,Kentucky,379403,401155
2017-10,Louisiana,1817,27436
2017-10,Maine,628,10328
2017-10,Mariana Islands,0,9
2017-10,Maryland,2779,13651
2017-10,Massachusetts,8116,16842
2017-10,Michigan,20487,44262
2017-10,Minnesota,34015,55012
2017-10,Mississippi,1551,19080
2017-10,Missouri,748,43987
2017-10,Montana,1119,11673
2017-10,Nebraska,3768,6543
2017-10,Nevada,1789,10198
2017-10,New Hampshire,2019,10371
2017-10,New Jersey,0,7852
2017-10,New Mexico,1025,13543
2017-10,New York,2877,32615
2017-10,North Carolina,22591,43211
2017-10,North Dakota,632,6209
2017-10,Ohio,10458,56960
2017-10,Oklahoma,0,25822
2017-10,Oregon,4205,27786
2017-10,Pennsylvania,26555,87064
2017-10,Puerto Rico,0,1306
2017-10,Rhode Island,0,2103
2017-10,South Carolina,9780,28996
2017-10,South Dakota,720,9244
2017-10,Tennessee,16465,55531
2017-10,Texas,30780,129869
2017-10,Utah,11002,19619
2017-10,Vermont,0,3463
2017-10,Virgin Islands,49,68
2017-10,Virginia,1006,40293
2017-10,Washington,12602,48147
2017-10,West Virginia,2046,18256
2017-10,Wisconsin,14488,43183
2017-10,Wyoming,288,4370
2017-09,Alabama,16717,32019
2017-09,Alaska,209,6303
2017-09,Arizona,5069,28394
2017-09,Arkansas,2935,17747
2017-09,California,57839,123506
2017-09,Colorado,4356,35873
2017-09,Connecticut,4343,12117
2017-09,Delaware,275,3502
2017-09,District of Columbia,1,61
2017-09,Florida,10784,77390
2017-09,Georgia,12074,35371
2017-09,Guam,0,135
2017-09,Hawaii,946,948
2017-09,Idaho,5162,14938
2017-09,Illinois,15712,116449
2017-09,Indiana,18241,48524
2017-09,Iowa,5847,9975
2017-09,Kansas,1567,12856
2017-09,Kentucky,378384,398706
2017-09,Louisiana,1827,27821
2017-09,Maine,783,8715
2017-09,Mariana Islands,0,16
2017-09,Maryland,2424,11255
2017-09,Massachusetts,7160,15460
2017-09,Michigan,16571,36944
2017-09,Minnesota,25645,44552
2017-09,Mississippi,1362,17491
2017-09,Missouri,791,37571
2017-09,Montana,1076,10283
2017-09,Nebraska,3036,5345
2017-09,Nevada,1952,9460
2017-09,New Hampshire,2795,10689
2017-09,New Jersey,0,7165
2017-09,New Mexico,847,12491
2017-09,New York,2933,30703
2017-09,North Carolina,19292,37325
2017-09,North Dakota,486,5212
2017-09,Ohio,8741,49942
2017-09,Oklahoma,0,23371
2017-09,Oregon,3774,27277
2017-09,Pennsylvania,23144,77003
2017-09,Puerto Rico,0,791
2017-09,Rhode Island,0,1799
2017-09,South Carolina,9380,25930
2017-09,South Dakota,562,7457
2017-09,Tennessee,16887,50945
2017-09,Texas,31390,128260
2017-09,Utah,12094,20041
2017-09,Vermont,0,3084
2017-09,Virgin Islands,1,9
2017-09,Virginia,585,36446
2017-09,Washington,11451,43049
2017-09,West Virginia,1668,16723
2017-09,Wisconsin,12224,37506
2017-09,Wyoming,280,4281
2017-08,Alabama,19733,35038
2017-08,Alaska,247,6946
2017-08,Arizona,6733,29376
2017-08,Arkansas,3313,17517
2017-08,California,59528,130901
2017-08,Colorado,5219,37150
2017-08,Connecticut,5896,14019
2017-08,Delaware,288,3509
2017-08,District of Columbia,19,80
2017-08,Florida,18362,96664
2017-08,Georgia,15046,38830
2017-08,Guam,0,159
2017-08,Hawaii,1077,1079
2017-08,Idaho,4736,13341
2017-08,Illinois,17053,126921
2017-08,Indiana,15664,47649
2017-08,Iowa,6094,9416
2017-08,Kansas,1642,13097
2017-08,Kentucky,376016,394718
2017-08,Louisiana,2450,24694
2017-08,Maine,1109,7751
2017-08,Mariana Islands,0,27
2017-08,Maryland,2629,11561
2017-08,Massachusetts,8288,16258
2017-08,Michigan,18347,39255
2017-08,Minnesota,28449,46613
2017-08,Mississippi,1703,21963
2017-08,Missouri,897,37449
2017-08,Montana,1230,9618
2017-08,Nebraska,3180,5209
2017-08,Nevada,1788,9035
2017-08,New Hampshire,2065,9313
2017-08,New Jersey,0,7443
2017-08,New Mexico,1183,11690
2017-08,New York,2952,28779
2017-08,North Carolina,23051,41122
2017-08,North Dakota,444,4874
2017-08,Ohio,10264,51103
2017-08,Oklahoma,0,24061
2017-08,Oregon,3993,24904
2017-08,Pennsylvania,24329,79020
2017-08,Puerto Rico,0,1490
2017-08,Rhode Island,0,1718
2017-08,South Carolina,12255,31663
2017-08,South Dakota,737,6686
2017-08,Tennessee,14548,49945
2017-08,Texas,22971,110946
2017-08,Utah,15013,22010
2017-08,Vermont,0,2676
2017-08,Virgin Islands,81,132
2017-08,Virginia,2220,39114
2017-08,Washington,12068,42120
2017-08,West Virginia,2028,14770
2017-08,Wisconsin,12647,40924
2017-08,Wyoming,408,4111
2017-07,Alabama,18042,31474
2017-07,Alaska,222,6487
2017-07,Arizona,5606,25714
2017-07,Arkansas,2564,14015
2017-07,California,52610,114595
2017-07,Colorado,4392,33811
2017-07,Connecticut,6387,14525
2017-07,Delaware,305,2981
2017-07,District of Columbia,19,68
2017-07,Florida,16978,92822
2017-07,Georgia,14623,35085
2017-07,Guam,0,145
2017-07,Hawaii,1107,1109
2017-07,Idaho,4539,11871
2017-07,Illinois,13652,108000
2017-07,Indiana,19386,47145
2017-07,Iowa,5099,8801
2017-07,Kansas,3667,13775
2017-07,Kentucky,374603,390494
2017-07,Louisiana,1930,20454
2017-07,Maine,390,5837
2017-07,Mariana Islands,0,13
2017-07,Maryland,2025,10088
2017-07,Massachusetts,6185,12900
2017-07,Michigan,15464,33378
2017-07,Minnesota,27018,41186
2017-07,Mississippi,1506,14388
2017-07,Missouri,716,32415
2017-07,Montana,1043,7890
2017-07,Nebraska,2656,4266
2017-07,Nevada,1805,8310
2017-07,New Hampshire,1451,8333
2017-07,New Jersey,0,7034
2017-07,New Mexico,1009,10580
2017-07,New York,2315,25576
2017-07,North Carolina,20102,34784
2017-07,North Dakota,496,4136
2017-07,Ohio,9440,49432
2017-07,Oklahoma,0,20738
2017-07,Oregon,3998,23239
2017-07,Pennsylvania,23669,73654
2017-07,Puerto Rico,0,1381
2017-07,Rhode Island,0,1646
2017-07,South Carolina,11585,26567
2017-07,South Dakota,1138,6068
2017-07,Tennessee,19766,52643
2017-07,Texas,19006,98338
2017-07,Utah,11902,17925
2017-07,Vermont,0,2275
2017-07,Virgin Islands,103,151
2017-07,Virginia,1139,36183
2017-07,Washington,10910,38369
2017-07,West Virginia,1798,13970
2017-07,Wisconsin,10275,32846
2017-07,Wyoming,279,3398
2017-06,Alabama,19508,35687
2017-06,Alaska,242,6353
2017-06,Arizona,6505,28359
2017-06,Arkansas,3033,16614
2017-06,California,60142,130187
2017-06,Colorado,4920,36459
2017-06,Connecticut,8290,16504
2017-06,Delaware,533,3634
2017-06,District of Columbia,17,74
2017-06,Florida,18831,100508
2017-06,Georgia,15591,39874
2017-06,Guam,0,156
2017-06,Hawaii,1082,1083
2017-06,Idaho,11559,20241
2017-06,Illinois,14883,113889
2017-06,Indiana,19163,49689
2017-06,Iowa,5638,8352
2017-06,Kansas,2400,13485
2017-06,Kentucky,373842,392002
2017-06,Louisiana,2011,23497
2017-06,Maine,567,6474
2017-06,Mariana Islands,0,12
2017-06,Maryland,2477,10945
2017-06,Massachusetts,7347,15841
2017-06,Michigan,17225,37088
2017-06,Minnesota,29559,44775
2017-06,Mississippi,1783,17154
2017-06,Missouri,730,36752
2017-06,Montana,1518,9901
2017-06,Nebraska,2799,4265
2017-06,Nevada,2895,10602
2017-06,New Hampshire,1659,9184
2017-06,New Jersey,0,7790
2017-06,New Mexico,1140,11398
2017-06,New York,2602,27677
2017-06,North Carolina,23048,39169
2017-06,North Dakota,1159,4939
2017-06,Ohio,11147,53164
